Brand,Model,Model_Description,Price,Engine_Size
Honda,CR-V,2.0 Comfort,586600.0,2.0
Audi,Q2,35TFSI,587600.0,
Volkswagen,Tiguan,1.4TSI 110kW,589000.0,1.4
Peugeot,3008,1.6T Active,589900.0,1.6
Haval,H6,2.0GDIT 4WD Super Luxury,589950.0,2.0
Mitsubishi,Outlander,2.4 GLS,589990.0,2.4
Mahindra,Scorpio-N,2.2D Z8L 4XPlor,590000.0,2.2
Hyundai,Grand Creta,1.5D Elite,592900.0,1.5
BAIC,B40 Plus,2.0TDi City Hunter,594500.0,2.0
BAIC,B40 Plus,2.0T,599500.0,2.0
Hyundai,Tucson,2.0 Executive,601900.0,2.0
Kia,Sportage,1.6T-GDi EX,608995.0,1.6
Subaru,Forester,2.0i-S ES,609000.0,2.0
Hyundai,Kona,1.6T N Line,615900.0,1.6
Audi,Q2,35TFSI S line,617800.0,
Opel,Grandland X,1.6T Edition,619900.0,1.6
Volkswagen,Tiguan Allspace,1.4TSI 110kW,629200.0,1.4
Proton,X70,1.5T Executive AWD,629900.0,1.5
Haval,H6 GT,2.0GDIT 4WD Super Luxury,629950.0,2.0
Citroën,C5 Aircross,1.6T Feel,633900.0,1.6
Renault,Koleos,2.5 Dynamique 4WD,634999.0,2.5
Volkswagen,T-Roc,2.0TSI 140kW 4Motion Design,636700.0,2.0
Nissan,Qashqai,1.3T Acenta,639300.0,1.3
Proton,X70,1.5T Premium X,639900.0,1.5
Mazda,CX-5,2.0 Carbon Edition,640600.0,2.0
MINI,Cooper Countryman,,644940.0,
Subaru,Forester,2.5i-Sport ES,646000.0,2.5
BAIC,B40 Plus,2.0T City Hunter,649500.0,2.0
Honda,CR-V,2.0 Elegance,651700.0,2.0
Toyota,Fortuner,2.4GD-6,653450.0,2.4
Volkswagen,Tiguan,1.4TSI 110kW Life,658200.0,1.4
Toyota,RAV4,2.0 GX-R AWD,658500.0,2.0
Nissan,X-Trail,1.6dCi 4x4 Tekna,660000.0,1.6
Peugeot,3008,1.6T Allure,664900.0,1.6
Kia,Sportage,1.6T-GDi GT Line,664995.0,1.6
BAIC,B40 Plus,2.0T Champion,669500.0,2.0
Hyundai,Tucson,2.0 Elite,669900.0,2.0
Haval,H6,1.5T HEV Ultra Luxury,669950.0,1.5
Volkswagen,T-Roc,2.0TSI 140kW 4Motion R-Line,670300.0,2.0
Nissan,Qashqai,1.3T Acenta Plus,670600.0,1.3
Toyota,RAV4,2.0 VX,671600.0,2.0
Audi,Q3,35TFSI,674400.0,
Nissan,X-Trail,2.5 4x4 Tekna,674900.0,2.5
Toyota,Fortuner,2.4GD-6 auto,677450.0,2.4
Volvo,XC40,B3 Essential,677700.0,
Citroën,C5 Aircross,1.6T Shine,683900.0,1.6
Kia,Sportage,1.6T-GDi GT Line Plus,692995.0,1.6
Toyota,RAV4,2.5 Hybrid GX-R E-Four,698700.0,2.5
Opel,Grandland X,1.6T Elegance,701900.0,1.6
Subaru,Forester,2.5i-S ES,708000.0,2.5
Audi,Q3,35TFSI S line,708400.0,
Toyota,Fortuner,2.4GD-6 4x4,709750.0,2.4
Volkswagen,Tiguan Allspace,1.4TSI 110kW Life,712800.0,1.4
Volvo,XC40,B4 Essential,718900.0,
Volkswagen,Tiguan,1.4TSI 110kW R-Line,722300.0,1.4
Mitsubishi,Pajero Sport,2.4DI-D,724990.0,2.4
